source,target,weight,type
A-1Pictures,AIC,0.23210858991592165,undirected
A-1Pictures,Arms,0.44403815973527117,undirected
A-1Pictures,Bones,0.17332745395140858,undirected
A-1Pictures,BrainsBase,0.15724959434200603,undirected
A-1Pictures,DLE,0.4878447339779052,undirected
A-1Pictures,DogaKobo,0.28738463179996565,undirected
A-1Pictures,Gainax,0.294816672055339,undirected
A-1Pictures,Gonzo,0.23648177033434725,undirected
A-1Pictures,J.C.Staff,0.11433526802888061,undirected
A-1Pictures,KyotoAnimation,0.3059936186452926,undirected
A-1Pictures,Madhouse,0.16731786621176703,undirected
A-1Pictures,NipponAnimation,0.5451032175236189,undirected
A-1Pictures,OLM,0.3382856593893582,undirected
A-1Pictures,ProductionI.G,0.1977232899606013,undirected
A-1Pictures,ProductionReed,0.25064691092797287,undirected
A-1Pictures,Satelight,0.28259973125288806,undirected
A-1Pictures,Seven,0.5328650902305976,undirected
A-1Pictures,Shaft,0.26644842190964013,undirected
A-1Pictures,Shin-EiAnimation,0.3636493692428019,undirected
A-1Pictures,SilverLink.,0.22732032552244086,undirected
A-1Pictures,Studio4°C,0.25266777366204196,undirected
A-1Pictures,StudioDeen,0.10738051588380093,undirected
A-1Pictures,StudioGallop,0.20575933508066935,undirected
A-1Pictures,StudioGhibli,0.4750736300936591,undirected
A-1Pictures,StudioHibari,0.19420402486122557,undirected
A-1Pictures,StudioPierrot,0.13730907695478145,undirected
A-1Pictures,Sunrise,0.4633771434933628,undirected
A-1Pictures,TMSEntertainment,0.29225786273442567,undirected
A-1Pictures,TatsunokoProduction,0.2631750850292436,undirected
A-1Pictures,ToeiAnimation,0.17969748888185189,undirected
A-1Pictures,Xebec,0.22074289986155415,undirected
A-1Pictures,Zexcs,0.31306901465380244,undirected
A-1Pictures,feel.,0.34920181532256744,undirected
A-1Pictures,ufotable,0.18423905117111594,undirected
AIC,Arms,0.4860933673180824,undirected
AIC,Bones,0.2089582844824618,undirected
AIC,BrainsBase,0.3251477226984768,undirected
AIC,DLE,0.596164764917515,undirected
AIC,DogaKobo,0.4581724405307849,undirected
AIC,Gainax,0.10883547350823419,undirected
AIC,Gonzo,0.10370509499772462,undirected
AIC,J.C.Staff,0.18650591640889247,undirected
AIC,KyotoAnimation,0.5409374134674809,undirected
AIC,Madhouse,0.24449477574110023,undirected
AIC,NipponAnimation,0.6243128183749815,undirected
AIC,OLM,0.4709610940015003,undirected
AIC,ProductionI.G,0.18040331627533268,undirected
AIC,ProductionReed,0.09105971584329098,undirected
AIC,Satelight,0.13354198104961912,undirected
AIC,Seven,0.6227694122742189,undirected
AIC,Shaft,0.3900290188393858,undirected
AIC,Shin-EiAnimation,0.4597857739938629,undirected
AIC,SilverLink.,0.37101399124144685,undirected
