source,target,weight,type
A-1Pictures,AIC,0.14275569018936118,undirected
A-1Pictures,Arms,0.29436171803246935,undirected
A-1Pictures,Bones,0.11240241556331287,undirected
A-1Pictures,BrainsBase,0.09778728919243196,undirected
A-1Pictures,DLE,0.4079372643012167,undirected
A-1Pictures,DogaKobo,0.20986826351594712,undirected
A-1Pictures,Gainax,0.18566047029339683,undirected
A-1Pictures,Gonzo,0.15102546530015737,undirected
A-1Pictures,J.C.Staff,0.07152720199995499,undirected
A-1Pictures,KyotoAnimation,0.22804120124164773,undirected
A-1Pictures,Madhouse,0.10257635620306671,undirected
A-1Pictures,NipponAnimation,0.37381201548338694,undirected
A-1Pictures,OLM,0.24602814258746264,undirected
A-1Pictures,ProductionI.G,0.12140698420580187,undirected
A-1Pictures,ProductionReed,0.15752294600189176,undirected
A-1Pictures,Satelight,0.17860922727432638,undirected
A-1Pictures,Seven,0.3939772063030774,undirected
A-1Pictures,Shaft,0.1766607591510424,undirected
A-1Pictures,Shin-EiAnimation,0.26967656969896814,undirected
A-1Pictures,SilverLink.,0.1590845686157979,undirected
A-1Pictures,Studio4°C,0.1593690076184633,undirected
A-1Pictures,StudioDeen,0.0669670353263393,undirected
A-1Pictures,StudioGallop,0.1383710974526592,undirected
A-1Pictures,StudioGhibli,0.3298865326285163,undirected
A-1Pictures,StudioHibari,0.12612164199750375,undirected
A-1Pictures,StudioPierrot,0.08777865110828553,undirected
A-1Pictures,Sunrise,0.31191017660482534,undirected
A-1Pictures,TMSEntertainment,0.19635730968243104,undirected
A-1Pictures,TatsunokoProduction,0.1684684066189669,undirected
A-1Pictures,ToeiAnimation,0.11638773617689624,undirected
A-1Pictures,Xebec,0.1396184528316461,undirected
A-1Pictures,Zexcs,0.2022139732839151,undirected
A-1Pictures,feel.,0.2640547561183424,undirected
A-1Pictures,ufotable,0.12862154318167218,undirected
AIC,Arms,0.3135140569117788,undirected
AIC,Bones,0.13268170043121752,undirected
AIC,BrainsBase,0.19340158637941862,undirected
AIC,DLE,0.48718512599429675,undirected
AIC,DogaKobo,0.3244750176124831,undirected
AIC,Gainax,0.0666332357593361,undirected
AIC,Gonzo,0.06532257915727446,undirected
AIC,J.C.Staff,0.11207439563221155,undirected
AIC,KyotoAnimation,0.3875954645106463,undirected
AIC,Madhouse,0.1383130913445555,undirected
AIC,NipponAnimation,0.4169284814082532,undirected
AIC,OLM,0.33402294620202155,undirected
AIC,ProductionI.G,0.10500878758558208,undirected
AIC,ProductionReed,0.05563875357219583,undirected
AIC,Satelight,0.0820961304910105,undirected
AIC,Seven,0.450561349996084,undirected
AIC,Shaft,0.25174423095577037,undirected
AIC,Shin-EiAnimation,0.3341281144547147,undirected
AIC,SilverLink.,0.2528853914223267,undirected
AIC,Studio4°C,0.1912363342682214,undirected
AIC,StudioDeen,0.16896005915390055,undirected
AIC,StudioGallop,0.21935183172740536,undirected
AIC,StudioGhibli,0.4221467679361651,undirected
AIC,StudioHibari,0.1617480837823283,undirected
AIC,StudioPierrot,0.14664833596666094,undirected
AIC,Sunrise,0.12896575230248697,undirected
