source,target,weight,type
A-1Pictures,AIC,3.367020001261112,undirected
A-1Pictures,Arms,2.539683500268831,undirected
A-1Pictures,Bones,3.88317168145384,undirected
A-1Pictures,BrainsBase,4.034705644813924,undirected
A-1Pictures,DLE,2.008247191468584,undirected
A-1Pictures,DogaKobo,2.907265724282261,undirected
A-1Pictures,Gainax,3.1114590004503886,undirected
A-1Pictures,Gonzo,3.651885522126439,undirected
A-1Pictures,J.C.Staff,4.747296922182303,undirected
A-1Pictures,KyotoAnimation,2.843237175743661,undirected
A-1Pictures,Madhouse,4.077405644540684,undirected
A-1Pictures,NipponAnimation,2.5456375599836556,undirected
A-1Pictures,OLM,2.936114112659477,undirected
A-1Pictures,ProductionI.G,3.5651177744654188,undirected
A-1Pictures,ProductionReed,3.8382946476840676,undirected
A-1Pictures,Satelight,3.7000502631556564,undirected
A-1Pictures,Seven,2.0507301047596718,undirected
A-1Pictures,Shaft,3.2237236955290536,undirected
A-1Pictures,Shin-EiAnimation,2.511571850721755,undirected
A-1Pictures,SilverLink.,3.328081873069636,undirected
A-1Pictures,Studio4°C,3.2217906526020013,undirected
A-1Pictures,StudioDeen,4.318349322149431,undirected
A-1Pictures,StudioGallop,2.921068823992069,undirected
A-1Pictures,StudioGhibli,2.485989011062216,undirected
A-1Pictures,StudioHibari,3.8518654181191834,undirected
A-1Pictures,StudioPierrot,4.088629024987538,undirected
A-1Pictures,Sunrise,2.730010767623892,undirected
A-1Pictures,TMSEntertainment,2.865438405411999,undirected
A-1Pictures,TatsunokoProduction,3.158665419713048,undirected
A-1Pictures,ToeiAnimation,3.696139672074633,undirected
A-1Pictures,Xebec,3.489287987210721,undirected
A-1Pictures,Zexcs,3.234710329653297,undirected
A-1Pictures,feel.,2.345343574926575,undirected
A-1Pictures,ufotable,2.9896431124796456,undirected
AIC,Arms,2.5944080798199414,undirected
AIC,Bones,3.184221166959806,undirected
AIC,BrainsBase,3.1836640197896315,undirected
AIC,DLE,1.8095709262335007,undirected
AIC,DogaKobo,2.3583177261437873,undirected
AIC,Gainax,4.174412641507986,undirected
AIC,Gonzo,4.301079407259104,undirected
AIC,J.C.Staff,4.273165067320477,undirected
AIC,KyotoAnimation,2.129137806768326,undirected
AIC,Madhouse,3.3930833475423867,undirected
AIC,NipponAnimation,2.1701390268586938,undirected
AIC,OLM,2.4209596753154616,undirected
AIC,ProductionI.G,3.5825555750545504,undirected
AIC,ProductionReed,4.440948541572309,undirected
AIC,Satelight,3.928281083575878,undirected
AIC,Seven,2.0537677715567217,undirected
AIC,Shaft,2.707286595622808,undirected
AIC,Shin-EiAnimation,2.279056304520148,undirected
AIC,SilverLink.,2.764041656508797,undirected
AIC,Studio4°C,2.878483229382471,undirected
AIC,StudioDeen,3.3840968940263667,undirected
AIC,StudioGallop,2.4176960234096834,undirected
AIC,StudioGhibli,2.015117299825131,undirected
AIC,StudioHibari,3.2945741067946863,undirected
AIC,StudioPierrot,3.2825427486052736,undirected
AIC,Sunrise,3.404646745965501,undirected
AIC,TMSEntertainment,2.51495308844124,undirected
AIC,TatsunokoProduction,3.077034538427735,undirected
AIC,ToeiAnimation,3.028426992437897,undirected
AIC,Xebec,4.072345403022677,undirected
AIC,Zexcs,2.7404565838217687,undirected
AIC,feel.,2.4743387256602394,undirected
AIC,ufotable,2.532253019170624,undirected
Arms,Bones,2.228399085850836,undirected
Arms,BrainsBase,2.444904248424149,undirected
Arms,DLE,1.7458838908707865,undirected
Arms,DogaKobo,2.4483920104851182,undirected
Arms,Gainax,2.418121665159864,undirected
Arms,Gonzo,2.5582535506048885,undirected
Arms,J.C.Staff,2.8497888247982823,undirected
Arms,KyotoAnimation,2.0114287428904265,undirected
Arms,Madhouse,2.6078602049518174,undirected
Arms,NipponAnimation,1.967260554826101,undirected
Arms,OLM,2.191355066752991,undirected
Arms,ProductionI.G,2.289279813638319,undirected
Arms,ProductionReed,2.3317262634900806,undirected
Arms,Satelight,2.1835108649886927,undirected
Arms,Seven,2.081451676799081,undirected
Arms,Shaft,2.3456700551656113,undirected
Arms,Shin-EiAnimation,2.065112365384614,undirected
Arms,SilverLink.,2.508908245282424,undirected
Arms,Studio4°C,2.2517735451269676,undirected
Arms,StudioDeen,2.6094159261066965,undirected
Arms,StudioGallop,2.128691124160852,undirected
Arms,StudioGhibli,1.9079477602690014,undirected
Arms,StudioHibari,2.63063744620642,undirected
Arms,StudioPierrot,2.5329116691329006,undirected
Arms,Sunrise,1.9732424002288291,undirected
Arms,TMSEntertainment,2.243985306889822,undirected
Arms,TatsunokoProduction,2.1047553920764797,undirected
Arms,ToeiAnimation,2.324944702359167,undirected
Arms,Xebec,2.4130380920294043,undirected
Arms,Zexcs,2.365635783277047,undirected
Arms,feel.,2.24470039693443,undirected
Arms,ufotable,2.3020019554776288,undirected
Bones,BrainsBase,3.0696648474108468,undirected
Bones,DLE,1.8932433685401895,undirected
Bones,DogaKobo,2.2018343658699204,undirected
Bones,Gainax,3.4124495365601835,undirected
Bones,Gonzo,4.965022605033824,undirected
Bones,J.C.Staff,3.5625118414211303,undirected
Bones,KyotoAnimation,2.2624350550349663,undirected
Bones,Madhouse,3.8281937913898263,undirected
Bones,NipponAnimation,2.491069317250055,undirected
Bones,OLM,2.7033965648781226,undirected
